epoch,train_loss,train_acc,val_loss,val_acc
1,3.011796279748281,4.166666666666667,2.988517093658447,8.333333333333334
2,2.987221395969391,7.083333333333333,2.958512544631958,13.333333333333334
3,2.8882994333902996,10.833333333333334,2.694321886698405,11.666666666666666
4,2.7263174255688987,12.5,2.5097002665201824,11.666666666666666
5,2.5970231711864473,13.333333333333334,2.506321748097738,20.0
6,2.440079698959986,20.833333333333332,2.3579505920410155,21.666666666666668
7,2.2583120385805766,24.166666666666668,2.3110961357752484,23.333333333333332
8,2.228834120432536,24.583333333333332,2.2806357701619464,18.333333333333332
9,2.202439131339391,28.333333333333332,2.146900844573975,28.333333333333332
10,2.1134029805660246,33.333333333333336,2.0930742979049684,26.666666666666668
11,1.9641443898280462,33.75,1.9805265585581462,35.0
12,1.8856126834948859,35.416666666666664,1.9527634620666503,36.666666666666664
13,1.868114693959554,32.916666666666664,1.9339178164800008,31.666666666666668
14,1.8808162480592727,35.0,1.9940738677978516,36.666666666666664
15,1.828500140706698,40.416666666666664,1.9630623976389567,36.666666666666664
16,1.8542387495438257,35.0,1.8206438064575194,33.333333333333336
17,1.7413092255592346,40.0,1.7730433384577433,35.0
18,1.6019048462311427,44.583333333333336,1.7730085134506226,46.666666666666664
19,1.6177242696285248,42.916666666666664,1.9079724033673604,33.333333333333336
20,1.7653061687946319,36.666666666666664,1.7777205427487692,45.0
21,1.5226934149861335,46.666666666666664,1.850318423906962,38.333333333333336
22,1.4465834885835647,51.666666666666664,1.70144917567571,50.0
23,1.4530538936456046,52.5,1.7873356143633525,38.333333333333336
24,1.6540929173429808,46.666666666666664,1.7448859175046285,48.333333333333336
25,1.5505838905771574,45.833333333333336,1.6666253487269083,48.333333333333336
26,1.5451866840322812,49.166666666666664,2.0422226349512735,33.333333333333336
27,1.5137715190649033,48.333333333333336,1.5442590554555258,51.666666666666664
28,1.3995235393444696,52.5,1.7455485661824544,55.0
29,1.305470963815848,54.583333333333336,1.5951349894205729,46.666666666666664
30,1.255249735713005,55.416666666666664,1.6025125821431478,55.0
31,1.272050826251507,57.5,1.4479380170504252,58.333333333333336
32,1.140320527056853,60.833333333333336,1.5585060358047484,50.0
33,1.0707742691040039,62.083333333333336,1.6732659896214803,53.333333333333336
34,1.3901971126596133,54.166666666666664,1.5071959654490152,50.0
35,1.1385252515474955,58.75,1.466248134771983,60.0
36,1.0631138049066067,62.916666666666664,1.452040191491445,51.666666666666664
37,1.1272479477028052,62.916666666666664,1.4987186471621194,56.666666666666664
38,1.0405836384743452,64.16666666666667,1.5461514234542846,55.0
39,0.995465715477864,66.66666666666667,1.56605570713679,58.333333333333336
40,1.2202005252242087,55.833333333333336,1.4291361570358276,55.0
41,1.0300004869699477,64.58333333333333,1.4275837699572245,50.0
42,1.0447587872544923,63.75,1.4797710617383322,53.333333333333336
43,1.0046757968763511,66.25,1.4414798756440481,63.333333333333336
44,0.905144197990497,68.33333333333333,1.5621522863705952,56.666666666666664
45,1.0905813792720438,63.333333333333336,2.0353116591771445,55.0
46,1.2119318102796872,57.916666666666664,1.3975468079249065,63.333333333333336
47,1.0694624655259153,62.083333333333336,1.436639376481374,56.666666666666664
48,1.071186500787735,65.83333333333333,1.5835275173187255,66.66666666666667
49,1.0007773173352084,67.08333333333333,1.3794553677241008,65.0
50,0.8974970618883769,67.5,1.5744453966617584,63.333333333333336
51,0.918844427789251,67.5,1.3725573460261027,70.0
52,0.8933687495067716,70.41666666666667,1.386405316988627,61.666666666666664
53,0.8529113559362789,70.41666666666667,1.443457265694936,56.666666666666664
